Year,Annual_MinTemp,Winter_MinTemp,Spring_MinTemp,Summer_MinTemp,Autumn_MinTemp,Annual_MeanTemp,Winter_MaxTemp,Spring_MeanTemp,Summer_MeanTemp,Autumn_MeanTemp,Annual_MaxTemp,Spring_MaxTemp,Summer_MaxTemp,Autumn_MaxTemp
1952,-2.72375,-17.726136363636364,-3.751127819548872,9.249264705882354,-0.3643939393939394,2.738157894736842,-7.8279069767441865,2.06360153256705,15.338059701492538,4.654440154440154,8.23404255319149,7.854580152671756,21.37121771217712,9.673764258555133
1953,-2.204417670682731,-14.52639405204461,-3.783941605839416,9.23558052434457,0.4883636363636364,3.12618025751073,-5.090151515151515,1.7671641791044777,15.230798479087452,5.5292134831460675,8.385654008438818,7.118450184501845,21.14248120300752,10.475373134328358
1954,-2.950197628458498,-15.76231884057971,-5.9284671532846716,9.104395604395604,0.37216117216117217,2.1295546558704452,-6.370110701107011,-0.4361623616236162,14.738007380073801,4.857677902621723,7.202766798418972,5.102909090909091,20.354545454545455,9.355762081784386
1955,-3.654,-15.27565543071161,-5.090579710144928,9.876556776556777,-2.095373665480427,1.5746887966804979,-6.331698113207547,0.3402930402930403,16.041328413284134,2.6945848375451265,6.766932270916334,5.770397111913358,22.10537634408602,7.413523131672598
1956,-3.7041353383458646,-17.768197879858658,-6.018727915194346,9.020863309352517,-1.2310714285714286,1.7348837209302326,-8.613357400722021,-0.2553571428571429,14.867753623188406,3.810144927536232,6.989015151515152,5.401060070671378,20.63705035971223,8.808273381294963
1957,-3.370769230769231,-18.708185053380785,-4.238028169014084,8.668292682926829,-0.6893103448275861,2.0134387351778655,-8.51123188405797,1.4617021276595745,14.558303886925795,4.031118881118881,7.3199248120300755,7.136619718309859,20.45910652920962,8.685567010309278
1958,-2.761509433962264,-14.58943661971831,-3.4926829268292683,8.870307167235495,-1.248135593220339,2.4531496062992124,-5.817301038062284,2.1673758865248227,14.976923076923077,3.456794425087108,7.556603773584905,7.600692041522492,21,8.132068965517242
1959,-3.8036363636363637,-18.8757785467128,-5.3253378378378375,9.037710437710437,-2.0152027027027026,1.5393939393939393,-9.047349823321555,0.43344827586206897,14.869727891156462,2.3281786941580758,6.616911764705883,6.002749140893471,20.557859531772575,6.603367003367003
1960,-3.3335766423357662,-14.925510204081633,-5.5335593220338986,9.005902777777777,-0.923728813559322,2.0805243445692883,-6.0272108843537415,0.07172413793103448,14.962237762237763,3.7319727891156464,7.231386861313869,5.469594594594595,20.87793103448276,8.383445945945946
1961,-3.4906474820143885,-16.522145328719724,-5.111986301369863,9.477740863787375,-1.2514950166112957,1.684981684981685,-7.069310344827586,0.21280276816608998,15.714814814814815,3.342,6.876258992805756,5.529896907216495,21.926333333333332,7.987128712871287
1962,-3.7370106761565838,-18.775,-5.2141914191419145,8.722442244224423,-0.39389830508474577,1.4934306569343065,-8.989115646258503,0.3440397350993377,14.520265780730897,4.177210884353742,6.672857142857143,5.847854785478548,20.27251655629139,8.754882154882155
1963,-3.3773234200743496,-16.894880546075086,-5.18843537414966,9.266440677966102,-0.0886986301369863,1.8637404580152672,-7.369896193771626,0.5294117647058824,14.995918367346938,4.889583333333333,7.066171003717472,6.1938775510204085,20.712794612794614,9.828231292517007
1964,-3.8688811188811187,-15.699657534246576,-6.1926174496644295,8.658471760797342,-1.6016778523489934,1.2755395683453237,-6.4133105802047785,-0.41972789115646253,14.223825503355705,2.9865319865319866,6.391901408450704,5.23255033557047,19.796345514950165,7.582392026578073
1965,-4.098239436619719,-18.95952380952381,-5.684615384615385,8.647986577181207,-2.0718543046357616,1.032490974729242,-9.548287671232877,-0.11423728813559325,14.409090909090908,2.4275747508305647,6.071886120996441,5.392307692307693,20.1248322147651,6.910963455149502
1966,-3.760627177700348,-17.13918918918919,-4.995681063122924,9.052475247524752,-1.6516447368421052,1.4047272727272728,-8.20890410958904,0.42162162162162165,14.805351170568562,3.1174917491749174,6.452877697841727,5.733108108108108,20.558333333333334,7.8197368421052635
1967,-4.026297577854671,-17.33986928104575,-7.2673139158576054,9.13615635179153,-0.4522875816993464,1.3297491039426523,-7.820066889632107,-1.6465573770491804,15.28888888888889,4.155298013245033,6.598233215547703,3.872312703583062,21.440453074433655,8.70891089108911
